"Account ID No.","Account Name","Parent Account","Account Type(s)","Account Number","Timezone","Currency","Tags","Title","First Name","Middle Initial","Last Name","Work Email","Work Phone","Job Function","Contact Name","Activation Number","Sim Sale","Doing Business as (DBA)","Tax ID (EIN)","Number of Employees","Estimated Annual Revenue","Ownership Type","Business Classification","Founded Year","Industry","Account Email","Account Phone","SIC Code","NAICS Code","Account Source","Rating","Address Type","Address Class","Street Address 1","Street Address 2","Country","State","City","Zip/Postal Code","Attn.","Notes"
"AC24392","Henry 2","","TEST","23280650","(GMT-09:00) Alaska","Dollars - BMD","HotAccount","","Henry 2","","Henry 2","","","Super Admin","Henry 2 Henry 2","","","","","1001 or more","$3M to $5M","General Partnerships","Ex-Customer","1998","Accounting","","","","","Book","5++","Billing","Commercial","Noida","","","","","","Henry 2  Henry 2",""
"AC24391","Henry 1","","TEST","23280440","(GMT-09:00) Alaska","Dollars - BMD","HotAccount","","Henry 1","","Henry 1","","","Super Admin","Henry 1 Henry 1","","","","","1001 or more","$3M to $5M","General Partnerships","Ex-Customer","1998","Accounting","","","","","Book","5++","Billing","Commercial","Noida","","","","","","Henry 1  Henry 1",""
"AC24368","Imports_A3","","TEST","23280237","(GMT-09:00) Alaska","Dollars - BMD","HotAccount","","Imports_A3","","Imports_A3","","","Super Admin","Imports_A3 Imports_A3","","","","","1001 or more","$3M to $5M","General Partnerships","Ex-Customer","1998","Accounting","","","","","Book","5++","Billing","Commercial","Noida","","India","","","","",""
"AC24367","Imports_A2","","TEST","23280188","(GMT-09:00) Alaska","Dollars - BMD","HotAccount","","Imports_A2","","Imports_A2","","","Super Admin","Imports_A2 Imports_A2","","","","","1001 or more","$3M to $5M","General Partnerships","Ex-Customer","1998","Accounting","","","","","Book","5++","Billing","Commercial","Noida","","India","","","","",""
"AC24366","Imports_A1","","TEST","23280858","(GMT-09:00) Alaska","Dollars - BMD","HotAccount","","Imports_A1","","Imports_A1","","","Super Admin","Imports_A1 Imports_A1","","","","","1001 or more","$3M to $5M","General Partnerships","Ex-Customer","1998","Accounting","importsa1@gmail.com","9075621213","","","Book","5++","Billing","Commercial","Noida","","","","","","",""
"AC24387","firstName533 LastName713","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","A1Account","Mr","firstName533","MiddleName025","LastName713","import5582@lionobytes.com","","Super Admin","firstName533 MiddleName025 LastName713","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import5582@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName533 MiddleName025 LastName713","Notes Added By Jonny 1"
"AC24386","firstName723 LastName160","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","A1Account","Mr","firstName723","MiddleName042","LastName160","import7872@lionobytes.com","","Super Admin","firstName723 MiddleName042 LastName160","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import7872@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName723 MiddleName042 LastName160","Notes Added By Jonny 1"
"AC24385","firstName980 LastName290","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","A1Account","Mr","firstName980","MiddleName493","LastName290","import0122@lionobytes.com","","Super Admin","firstName980 MiddleName493 LastName290","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import0122@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName980 MiddleName493 LastName290","Notes Added By Jonny 1"
"AC24384","firstName587 LastName193","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","A1Account","Mr","firstName587","MiddleName301","LastName193","import7592@lionobytes.com","","Super Admin","firstName587 MiddleName301 LastName193","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import7592@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName587 MiddleName301 LastName193","Notes Added By Jonny 1"
"AC24383","firstName032 LastName144","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","A1Account","Mr","firstName032","MiddleName065","LastName144","import0372@lionobytes.com","","Super Admin","firstName032 MiddleName065 LastName144","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import0372@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName032 MiddleName065 LastName144","Notes Added By Jonny 1"
"AC24382","firstName845 LastName960","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName845","MiddleName269","LastName960","import4792@lionobytes.com","","Super Admin","firstName845 MiddleName269 LastName960","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import4792@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName845 MiddleName269 LastName960","Notes Added By Jonny 1"
"AC24381","firstName383 LastName002","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName383","MiddleName207","LastName002","import5612@lionobytes.com","","Super Admin","firstName383 MiddleName207 LastName002","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import5612@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName383 MiddleName207 LastName002","Notes Added By Jonny 1"
"AC24380","firstName725 LastName931","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName725","MiddleName040","LastName931","import7172@lionobytes.com","","Super Admin","firstName725 MiddleName040 LastName931","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import7172@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName725 MiddleName040 LastName931","Notes Added By Jonny 1"
"AC24379","firstName769 LastName825","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName769","MiddleName801","LastName825","import1472@lionobytes.com","","Super Admin","firstName769 MiddleName801 LastName825","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import1472@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName769 MiddleName801 LastName825","Notes Added By Jonny 1"
"AC24378","firstName382 LastName038","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName382","MiddleName629","LastName038","import8972@lionobytes.com","","Super Admin","firstName382 MiddleName629 LastName038","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import8972@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName382 MiddleName629 LastName038","Notes Added By Jonny 1"
"AC24377","MultiContacts","","AccountTest","","","Dollars - BMD","","Mr","MultiContacts","","","","","Super Admin","MultiContacts","","","","","1001 or more","$10M to more","Cooperative Societies","Prospect",""," Accounting","","","","","Ra-tings278","5++","Billing","Commercial","","","India","Delhi","","","",""
"AC24375","firstName775 LastName602","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName775","MiddleName412","LastName602","import8202@lionobytes.com","","Super Admin","firstName775 MiddleName412 LastName602","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import8202@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName775 MiddleName412 LastName602","Notes Added By Jonny 1"
"AC24374","firstName850 LastName842","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName850","MiddleName793","LastName842","import6422@lionobytes.com","","Super Admin","firstName850 MiddleName793 LastName842","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import6422@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName850 MiddleName793 LastName842","Notes Added By Jonny 1"
"AC24373","firstName156 LastName269","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName156","MiddleName558","LastName269","import1362@lionobytes.com","","Super Admin","firstName156 MiddleName558 LastName269","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import1362@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName156 MiddleName558 LastName269","Notes Added By Jonny 1"
"AC24372","firstName703 LastName886","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName703","MiddleName675","LastName886","import7802@lionobytes.com","","Super Admin","firstName703 MiddleName675 LastName886","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import7802@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName703 MiddleName675 LastName886","Notes Added By Jonny 1"
"AC24371","firstName418 LastName130","","TEST","","(GMT-10:00) Hawaii","Rupees - PKR","HotAccount","Mr","firstName418","MiddleName975","LastName130","import0042@lionobytes.com","","Super Admin","firstName418 MiddleName975 LastName130","","","","","1001+","$10M to more","Cooperative Societies","Prospect","2001"," Accounting","import0042@lionobytes.com","","200","5001","Book","B++","Billing","Commercial","","","India","Assam","","","firstName418 MiddleName975 LastName130","Notes Added By Jonny 1"
"AC24365","Bislacopy","","TEST","","(GMT-09:00) Alaska","Rupees - PKR","A-GOOD","Mr","Bisla","","Bisla","bisla@gmail.com","","","Bisla Bisla","","","","","1001+","$10M to more","General Partnerships","Prospect",""," Accounting","bisla@gmail.com","9075624873","2129","8403","Book","B++","Billing","Commercial","","","India","Assam","Noida","","","Notes Added 51"
"AC24361","Account Automation Channel","","AccountTest, Premium, TEST","","(GMT-12:00) International Date Line West","Dollars - BMD","B2-Business, B3-Busniess, B1-Busniess","Mr","Ziya Abbas","","","","","Super Admin","Ziya Abbas","","","","","1001 or more","$10M to more","Cooperative Societies","Prospect",""," Accounting","","","","","Ra-tings278","5++","Billing","Residential","Guru Gobind Singh Marg Railway Officers Colony Sarai Rohilla","","India","Delhi","New Delhi","110005","",""
"AC24356","Account with territory","","AccountTest, Premium, TEST","","","Dollars - BMD","","Mr","Account with territory","","","","","Super Admin","Account with territory","","","","","1001 or more","$10M to more","Cooperative Societies","Prospect",""," Accounting","","","","","Ra-tings278","5++","Billing","Residential","10600 Highland Springs Avenue","","USA","CA","Beaumont","92223","",""
"AC24355","Account with automation","","","","","Dollars - BMD","","Mr","Account with automation","","","","","Super Admin","Account with automation","","","","","1001 or more","$10M to more","Cooperative Societies","Prospect",""," Accounting","","","","","Ra-tings278","5++","","","","","","","","","",""
"AC7585","Ziya Automation Channel Account","","AccountTest, Premium, TEST","","","Dollars - BMD","","Mr","Ziya","","Abbas","","","Super Admin","Ziya Abbas","","","","","1001+","$1M to $2M","General Partnerships","Prospect","","Advertising and Marketing and PR","","","","","Book","AAA1","","","","","","","","","",""
"AC7584","1111","","AccountTest","","","Dollars - BMD","","Mr","1111","","","","","Super Admin","1111","","","","","1001+","$1M to $2M","General Partnerships","Prospect","","Advertising and Marketing and PR","","","","","Book","AAA1","","","","","","","","","",""
"AC7581","test other channel","","AccountTest","","","Dollars - BMD","","Mr","test other channel","","","","","Super Admin","test other channel","","","","","1001+","$1M to $2M","General Partnerships","Prospect","","Advertising and Marketing and PR","","","","","Book","AAA1","","","","","","","","","",""
"AC7580","Automation account","","AccountTest","","","Dollars - BMD","","Mr","Automation account","","","","","Super Admin","Automation account","","","","","1001+","$1M to $2M","General Partnerships","Prospect","","Advertising and Marketing and PR","","","","","Book","AAA1","","","","","","","","","",""
"AC7528","Rajdhani Exp","","Premium","","","Dollars - BMD","","Mr","Shubham","","Deshmukh","","","","Shubham Deshmukh","","","","","","","","Prospect","","","","","","","","","","","","","","","","","",""
"AC7184","SName289","","Premium, AccountTest","87885291","(GMT-09:00) Alaska","Baht - THB","","","FName439","MName205","LName391","AccountCreate091@lionobytes.com","8788526649","Super Admin","FName439 MName205 LName391","","","123518","993","201-500","$3M to $5M","Cooperative Societies","Ex-Customer","2024220"," Accounting","Createaccount119@lionobytes.com","8788526157","123","12345","Book","B++","Billing","Residential","10808 Culver Boulevard Park West","Delhi","USA","CA","Culver City","90230","FName439 MName205 LName391","Fill account details"
"AC7243","SName198","","Premium","87885962","(GMT-09:00) Alaska","Baht - THB","","","FName599","MName757","LName578","leadcontact219@lionobytes.com","8788526566","Super Admin","FName599 MName757 LName578","","","123574","782","201-500","$3M to $5M","Cooperative Societies","Ex-Customer","2024433"," Accounting","Createaccount990@lionobytes.com","8788526279","123","12345","Book","B++","Billing","Residential","10808 Culver Boulevard Park West","Delhi","USA","CA","Culver City","90230","FName599 MName757 LName578","Fill account details"
"AC7183","SName032","","Premium, AccountTest","87885521","(GMT-09:00) Alaska","Baht - THB","","","FName435","MName374","LName022","AccountCreate466@lionobytes.com","8788526431","Super Admin","FName435 MName374 LName022","","","123865","420","201-500","$3M to $5M","Cooperative Societies","Ex-Customer","2024844"," Accounting","Createaccount274@lionobytes.com","8788526038","123","12345","Book","B++","Billing","Residential","10808 Culver Boulevard Park West","Delhi","USA","CA","Culver City","90230","FName435 MName374 LName022","Fill account details"
