Lead ID No.,Lead Name,Lead Type(s),Lead Number,Time  zone,Currency,Tags,Title,Middle Initial,First Name,Last Name,Work Email,Work Phone,Job Function,Contact Name,Doing Business as (DBA),Tax ID (EIN),Number of Employees,Estimated Annual Revenue,Ownership Type,Stage,Founded Year,Industry,Lead Email,Lead Phone,SIC Code,NAICS Code,Lead Source,Rating,Status,Notes,Address Type,Address Class,Street Address 1,Street Address 2,Country,State,City,Zip/Postal Code,Attn.
LD21385,firstName500 LastName987,One_Type,1021363,(GMT-09:00) Alaska,Rupees - PKR,Hot Lead,Mr,MiddleName959,firstName500,LastName987,import428@lionobytes.com,,Super Admin,firstName500 MiddleName959 LastName987,,,1001 or more,$1M to $2M,Cooperative Societies,Assigned,1998,Accounting,lead300@lionobytes.com,9075628486,ATT Website,5++,Cold,5++,Cold,Note Added 1039,Billing,Commercial,Noida,,India,Assam,,,firstName500 MiddleName959 LastName987
LD21388,firstName680 LastName873,One_Type,1021770,(GMT-09:00) Alaska,Rupees - PKR,Hot Lead,Mr,MiddleName438,firstName680,LastName873,import334@lionobytes.com,,Super Admin,firstName680 MiddleName438 LastName873,,,1001 or more,$1M to $2M,Cooperative Societies,Assigned,1998,Accounting,lead205@lionobytes.com,9075628072,ATT Website,5++,Cold,5++,Cold,Note Added 1169,Billing,Commercial,Noida,,India,Assam,,,firstName680 MiddleName438 LastName873
LD21389,firstName394 LastName551,One_Type,1021216,(GMT-09:00) Alaska,Rupees - PKR,Hot Lead,Mr,MiddleName123,firstName394,LastName551,import131@lionobytes.com,,Super Admin,firstName394 MiddleName123 LastName551,,,1001 or more,$1M to $2M,Cooperative Societies,Assigned,1998,Accounting,lead600@lionobytes.com,9075628846,ATT Website,5++,Cold,5++,Cold,Note Added 1045,Billing,Commercial,Noida,,India,Assam,,,firstName394 MiddleName123 LastName551
LD21387,firstName822 LastName801,One_Type,1021699,(GMT-09:00) Alaska,Rupees - PKR,Hot Lead,Mr,MiddleName614,firstName822,LastName801,import114@lionobytes.com,,Super Admin,firstName822 MiddleName614 LastName801,,,1001 or more,$1M to $2M,Cooperative Societies,Assigned,1998,Accounting,lead012@lionobytes.com,9075628839,ATT Website,5++,Cold,5++,Cold,Note Added 1940,Billing,Commercial,Noida,,India,Assam,,,firstName822 MiddleName614 LastName801
LD21386,firstName045 LastName853,One_Type,1021447,(GMT-09:00) Alaska,Rupees - PKR,Hot Lead,Mr,MiddleName285,firstName045,LastName853,import743@lionobytes.com,,Super Admin,firstName045 MiddleName285 LastName853,,,1001 or more,$1M to $2M,Cooperative Societies,Assigned,1998,Accounting,lead625@lionobytes.com,9075628471,ATT Website,5++,Cold,5++,Cold,Note Added 1164,Billing,Commercial,Noida,,India,Assam,,,firstName045 MiddleName285 LastName853
LD21384,firstName049 LastName746,One_Type,,(GMT-10:00) Hawaii,Rupees - PKR,Automation_Tag,Mr,MiddleName423,firstName049,LastName746,import923@lionobytes.com,,Super Admin,firstName049 MiddleName423 LastName746,,,1001+,$10M to more,General Partnerships,New,2001, Accounting,lead336@lionobytes.com,9075628831,20058,30418,Book,5++,Cold,Note Added 1914,Billing,Commercial,Noida,,India,Assam,,,firstName049 MiddleName423 LastName746
LD21382,firstName495 LastName779,One_Type,,(GMT-10:00) Hawaii,Rupees - PKR,Automation_Tag,Mr,MiddleName855,firstName495,LastName779,import048@lionobytes.com,,Super Admin,firstName495 MiddleName855 LastName779,,,1001+,$10M to more,General Partnerships,New,2001, Accounting,lead417@lionobytes.com,9075628503,20553,30154,Book,5++,Cold,Note Added 1863,Billing,Commercial,Noida,,India,Assam,,,firstName495 MiddleName855 LastName779
LD21381,firstName431 LastName689,One_Type,,(GMT-10:00) Hawaii,Rupees - PKR,Automation_Tag,Mr,MiddleName071,firstName431,LastName689,import947@lionobytes.com,,Super Admin,firstName431 MiddleName071 LastName689,,,1001+,$10M to more,General Partnerships,New,2001, Accounting,lead214@lionobytes.com,9075628836,20447,30792,Book,5++,Cold,Note Added 1007,Billing,Commercial,Noida,,India,Assam,,,firstName431 MiddleName071 LastName689
LD21383,firstName516 LastName025,One_Type,,(GMT-10:00) Hawaii,Rupees - PKR,Automation_Tag,Mr,MiddleName937,firstName516,LastName025,import996@lionobytes.com,,Super Admin,firstName516 MiddleName937 LastName025,,,1001+,$10M to more,General Partnerships,New,2001, Accounting,lead248@lionobytes.com,9075628576,20448,30490,Book,5++,Cold,Note Added 1104,Billing,Commercial,Noida,,India,Assam,,,firstName516 MiddleName937 LastName025
LD21380,firstName071 LastName215,One_Type,,(GMT-10:00) Hawaii,Rupees - PKR,Automation_Tag,Mr,MiddleName967,firstName071,LastName215,import816@lionobytes.com,,Super Admin,firstName071 MiddleName967 LastName215,,,1001+,$10M to more,General Partnerships,New,2001, Accounting,lead664@lionobytes.com,9075628177,20825,30848,Book,5++,Cold,Note Added 1320,Billing,Commercial,Noida,,India,Assam,,,firstName071 MiddleName967 LastName215
